"id","DTS","DTA","LPCs","PCs","CE_20_3","DG_34_2","DG_36_2","DG_36_3","DG_36_4","LPC_16_0","LPC_18_0","LPC_18_1","LPC_18_2","LPC_18_3","PC_16_0_9_0_CHO","PC_32_0","PC_32_1","PC_32_2","PC_33_2","PC_34_1","PC_34_2","PC_34_3","PC_34_4","PC_35_1","PC_35_2","PC_35_3","PC36_1","PC_36_2","PC_36_3_A","PC_36_3_B","PC_36_4_A","PC_36_4_C","PC_36_5_A","PC_36_5_B","PC_37_3","PC_38_2","PC_38_3_K","PC_38_5_A","PC_p_34_2_PC_o_34_3","PC_p_36_3_PC_o_36_4","PC_p_36_4_PC_o_36_5","PE_34_2","SM_d32_1","SM_d36_1","TG_46_0","TG_46_3","TG_48_0","TG_48_1","TG_48_2","TG_48_3","TG_50_0","TG_50_1","TG_50_2","TG_50_3","TG_50_4","TG_50_5","TG_52_0","TG_52_1","TG_52_2","TG_52_3","TG_52_4","TG_52_5","TG_52_6","TG_54_1","TG_54_2","TG_54_3","TG_54_4","TG_54_5","TG_54_6","TG_54_8","TG_56_4","DGs","SMs","TGs","LPC_PC","LPC_PC_309","LPC_PC_387","PC_TG_878","PC_TG_1670","PC_TG_1671","PC_TG_1680"
"LANMLR17B002",125,132,3146358.5,14431039.5,NA,NA,NA,NA,NA,60334.5,NA,37252.5,2095256.5,953515,NA,15189,23341,28700,41184,229162,4448584,2460305,44411.5,NA,56758.5,43329,19247.5,486439,334399,402222,2422027.5,NA,3270393,14208.5,62844,18909,10772,11107.5,NA,6754,NA,302325.5,1291,3333.5,NA,NA,3403.5,2729.5,3563.5,NA,4833,26427.5,31920.5,23193,NA,14696.5,3930.5,12676,29285.5,28650,NA,NA,9242.5,NA,7204,27057,75983.5,98515,NA,NA,NA,0,3979,354053.5,-2.20982925114774,2.36565881609566,-0.66133204672402,10.352017115177,9.00284312982056,8.14813084028977,8.12318991587248
"LANMLR17B003",129.666666666667,128,309991.666666667,15512735,NA,7397,NA,NA,3760,91080.3333333333,4273,5458.66666666667,154077.666666667,57950.6666666667,5474,28039,26261,34876,38218,361840.333333333,5021271,3017689.66666667,41399.6666666667,NA,57754,50711.3333333333,20486.6666666667,385597,414556.333333333,337633.666666667,2271400.66666667,NA,3317571,26297.5,55935.5,15994.3333333333,14152.5,21268.6666666667,NA,4571.66666666667,NA,344809,2680.5,5097,NA,1461,2544.66666666667,3384,3299.5,539,4356,16346.3333333333,24051.6666666667,12891.3333333333,549,4083,2538,9686,14728,12586.6666666667,62082,116690,26592.3333333333,NA,5783.5,11331.6666666667,25763.6666666667,20275,NA,NA,1449,3719,5185,244724,-5.69923598474842,-1.17383777930436,-4.50438309360178,11.2899386756565,8.92617483061309,8.20155169262,7.77937617304016
"LANMLR17B007",140.5,138,3060985.5,11921453,NA,14295,NA,NA,5896,170352,19285,73013,2336624.5,471353.5,13999,22935,16580.5,25262.5,45620,167042.5,4263307.5,1707826,21646,NA,67462,32467.5,13437,324559,290175,208492.5,2384413,NA,2285409.5,11485,17003,14344.5,7052,7469,NA,11671.5,NA,122850,6256,5641,NA,1297,4490,4239,4495,483,7816,33766.5,25275,11756.5,830,5183,4592,27848,24543,10519,76629,91620,25675.5,NA,12038,32351.5,68984.5,23336,NA,NA,798,10095.5,5948.5,370555,-1.97830863553355,3.47140520919347,0.00367697295312037,9.8899560100008,7.83061849823805,6.50303573796957,7.01288494426689
"LANMLR17B011",133.5,133.5,3499728.5,7032810,NA,42249,NA,NA,21960,80472.5,16939.5,88557.5,2784522.5,529236.5,7910.5,19352.5,3224,8901.5,112452,55541,2331758,1396391.5,18298,NA,44327.5,61176,6125,92483.5,125023,128975,1329527.5,NA,1249756.5,NA,NA,3982,NA,4642.5,NA,39087.5,NA,104130,9290.5,NA,NA,16236.5,9352,NA,NA,15013.5,NA,10366,74517.5,63059.5,14860,49235.5,NA,NA,29472,38459,351616,630273.5,440716.5,NA,NA,13523.5,47634,117775,NA,NA,4521.5,64209,9290.5,1926631.5,-1.05364197655478,4.39887070899802,1.15230273877997,7.96828410972144,2.5949089297049,1.85810534198826,1.78712836817984
"LANMLR17B012",NA,145,2120884,7305000,NA,7450,NA,NA,6009,138665,29755,97453,1641950,213061,7542,32601,27056,7606,233644,122259,2419256,1974011,30742,NA,105610,190784,20445,114887,235678,251813,1394103,NA,62700,NA,NA,19794,NA,33661,NA,41253,NA,117352,60964,NA,NA,13284,27583,NA,NA,13744,NA,38591,108745,129948,56218,16915,NA,NA,54836,112982,466857,695016,569782,NA,NA,39050,92707,261443,NA,NA,19160,13459,60964,2716861,-1.7842185570171,2.70498552531112,4.71080094216377,6.45464025306617,2.08608148873103,1.79264807783336,1.29085520397941
"LANMLR17B013",142,133.5,3496598.5,9527189.5,NA,25039,NA,NA,12362,126416.5,19290,117128.5,3062292,181116.5,9005,115335,19277,16108.5,425027,164589.5,3409792.5,1863960,20736,NA,83941.5,106838,40046.5,197909,205074,176641.5,1674254.5,NA,1090317,22148,33676,22267.5,12008,19670.5,NA,89545.5,NA,153306.5,66755,232485,NA,9895,40439.5,12614,5048,6334,88379,18491.5,77451,56489,8055,14401,109109,7367,44630.5,71089.5,675709,611125,184226,NA,13101,26121,55222.5,126642.5,NA,NA,10260,18700.5,149620,1493702,-1.45118326138571,3.97452922496427,2.2553532815948,6.77796463754418,5.09756997712139,4.22852837700916,4.10865535616373
"LANMLR17B021",131.666666666667,130,267472,14175532.6666667,2233,39187.5,NA,1967,33182,73161.6666666667,6467.5,3193.66666666667,139887,46918,2370.5,16077.6666666667,16177.3333333333,28492.3333333333,55895,219025,4497175.5,2635253,37487.3333333333,NA,50086.3333333333,32206,14495,304008.333333333,317999,341030,2236321,NA,4811291,41811,38108,12787.6666666667,10950.5,22138.3333333333,NA,8430,NA,457395.666666667,5645,12879,3418,2026,13411.3333333333,4869,4384,797,28437,5617.33333333333,19388,17744.5,905,10868.5,23694,6131,9902,18154,70530.5,136455.5,36371,NA,4261.5,7625.66666666667,20675.3333333333,61004.3333333333,106751,354466,1449,48902,8056.33333333333,531165,-5.89012487432123,-1.44975761867156,-5.18042426279375,8.41894112744595,7.39597901178572,6.93530676537524,6.68387379370599
"LANMLR17B023",131.5,130,804252,16022066.5,NA,NA,NA,NA,NA,80762,NA,45956.5,586018.5,91515,NA,118574.5,26499,13707,32815.5,328177,5217496,2687967,29530.5,NA,118762.5,118578,47279,280743,436109.5,283823,2888351.5,NA,3238923.5,16094.5,34506,22515,10616,38435.5,24295,67694.5,NA,293161.5,NA,99475,NA,NA,45960,13149,9457.5,NA,31553,32467,49644,50563,NA,11858,39368.5,11627,39158,54673.5,NA,NA,13464,NA,9241,28218,39146,81855.5,NA,NA,NA,0,99475,561403,-4.35102893261798,0.975274808777387,-2.52150615856993,7.4393552103915,9.07500771527564,8.1166332602928,8.22283848836067
"LANMLR17B024",132.5,NA,5482441.5,11712724.5,NA,NA,NA,NA,NA,86785.5,NA,139120,4168982.5,1087553.5,NA,28601,17811,23967.5,51910,226426,4049086,2017079.5,26537,NA,59313.5,45607.5,14832.5,356877,268341.5,249465,1803772,NA,2391507.5,10806,33033.5,15853,7618,11317,NA,17795,NA,330631.5,2183,5447.5,NA,NA,6154,7658.5,4420.5,NA,7702,135927.5,114523.5,47538.5,NA,18271,5143.5,38267.5,48413,26144,NA,NA,15752.5,NA,10772,46997,96722.5,92936,NA,NA,NA,0,6539,676875.5,-1.14297011744476,3.99230580234662,0.710737881413325,9.38617997837182,8.00517259684047,6.98798420082337,6.83447457076582
"LANMLR17B027",137.5,135.5,3915611.5,7192547.5,NA,28875.5,NA,NA,19920,111374,18809.5,92210,3182990.5,510227.5,4632.5,22819,2831,5839.5,69814.5,52188,2319836.5,1217334,21723.5,NA,37546,75010.5,3111,67693,128882.5,76249,1591608.5,NA,1441159.5,NA,NA,5777,NA,18184.5,NA,33418.5,NA,85074.5,17405.5,NA,NA,6872.5,18710.5,NA,NA,6830,NA,21279,57424.5,35561,9231,22011,NA,NA,29747,37491,286323.5,466624,251619,NA,NA,20131.5,35215.5,74754.5,NA,NA,3037,48795.5,17405.5,1382862.5,-0.945610779263932,5.38597788325628,1.06761980615349,6.93458673160434,3.17694777443046,2.24222940539562,2.64226662378594
