"id","DTS","DTA","LPCs","PCs","CE_20_3","DG_34_2","DG_36_2","DG_36_3","DG_36_4","LPC_16_0","LPC_18_0","LPC_18_1","LPC_18_2","LPC_18_3","PC_16_0_9_0_CHO","PC_32_0","PC_32_1","PC_32_2","PC_33_2","PC_34_1","PC_34_2","PC_34_3","PC_34_4","PC_35_1","PC_35_2","PC_35_3","PC36_1","PC_36_2","PC_36_3_A","PC_36_3_B","PC_36_4_A","PC_36_4_C","PC_36_5_A","PC_36_5_B","PC_37_3","PC_38_2","PC_38_3_K","PC_38_5_A","PC_p_34_2_PC_o_34_3","PC_p_36_3_PC_o_36_4","PC_p_36_4_PC_o_36_5","PE_34_2","SM_d32_1","SM_d36_1","TG_46_0","TG_46_3","TG_48_0","TG_48_1","TG_48_2","TG_48_3","TG_50_0","TG_50_1","TG_50_2","TG_50_3","TG_50_4","TG_50_5","TG_52_0","TG_52_1","TG_52_2","TG_52_3","TG_52_4","TG_52_5","TG_52_6","TG_54_1","TG_54_2","TG_54_3","TG_54_4","TG_54_5","TG_54_6","TG_54_8","TG_56_4","DGs","SMs","TGs","LPC_PC","LPC_PC_309","LPC_PC_387","PC_TG_878","PC_TG_1670","PC_TG_1671","PC_TG_1680"
"LANMLR17B002",82.8,77.6666666666667,2873655,11101632,22864.6666666667,120042,NA,4329.33333333333,64996.3333333333,63052,7825.33333333333,52213.6,1783016,970678.2,16388,37727.2,12842.2,18839.2,41877.2,193100.2,3073288,2242084.2,39132.8,NA,54410.4,43296.8,15853.2,323113.6,244800.4,313344.8,1770405.6,10985,3225894.2,14208.5,62844,11607.4,9834.4,15138.6,NA,6754,NA,224900.8,6983,3333.5,14162,NA,80859.2,2729.5,3563.5,NA,4833,17606.4,34032,23193,NA,14696.5,3930.5,12676,22417.2,26240.8,281653.666666667,483989.333333333,159853.8,NA,6567.4,17035.2,70062.8,103872.75,512352.333333333,1446882,NA,113620.6,6919.8,2187445.4,-1.92376815937363,2.53586154755685,-0.86609602822633,6.74194248280857,5.85197682200578,5.03610070655891,4.66248321966402
"LANMLR17B003",92.1666666666667,91.3333333333333,232989,13408642.3333333,8765,93774.75,NA,3358.33333333333,77134.25,81873.5,4909.25,4107.66666666667,104663,39072,8210,44637,28815.5,35237.5,69139.6666666667,387358.166666667,3662038,2512852,41432.6666666667,NA,76632.5,61720.5,25641.8333333333,469868.166666667,445514.166666667,479929,1938336.66666667,15952.3333333333,3665343.5,26297.5,55935.5,16288.1666666667,16840.8,26658.5,NA,4571.66666666667,NA,484748.5,4684.2,5097,6803.66666666667,1461,19442.1666666667,3384,3299.5,539,4356,15884.1666666667,28092.8333333333,12891.3333333333,549,4083,2538,9686,17316,20737.5,210452.25,343362.75,123037,NA,5678.8,10291.3333333333,43377.1666666667,69478.8,494577,1290925.33333333,1449,115618.5,5602.5,1623080.5,-5.96779239852176,-2.3535339774259,-5.36728172967934,8.80760521690355,6.41921410018655,5.70297044596235,5.35269772253755
"LANMLR17B007",96.75,82.6666666666667,2948859.5,11698116,19449,96580,3978,6890.5,40049,129774.75,19073.3333333333,72915,1982944.25,748920.5,22569,48054.5,13756.25,23342,52608,283521,3770067.5,1764869.5,29912.75,6762,59028.5,37342,21349.25,409009.5,327997,261514.5,2103449.25,NA,2425941.75,16892,15474,14966.5,14128.5,11480,NA,11671.5,54221,178565,8391.5,5641,10714,1297,37357,8034.5,4495,483,6708,97864.75,65643.5,14869,2786,5039,4592,72402,151289.25,135735,349028.666666667,377363.333333333,86587,24179,40149.3333333333,76800.5,142822.75,152003.333333333,758145,1465640,3613.5,82766.5,5606,2090450.75,-2.10996095760926,2.84823199254551,-0.396325280085184,8.10507392969331,6.2146502493985,5.32816990673883,5.6480149248136
"LANMLR17B011",94.75,94.25,2749661.25,7773313.5,15662,79989.5,NA,5824,61985.75,83124.5,12889,62689.25,2072867.5,518091,9920,53577.75,5993.75,18051.25,79270.25,166643.25,2102296.66666667,1617667.5,25632.75,NA,57924.25,45709.75,12006.25,179443.75,236162,206781,1327008,15056,2121395.5,NA,NA,6740.75,14364,8179.75,NA,39087.5,NA,238416.25,8358,NA,9606.5,16236.5,18898,NA,NA,15013.5,NA,9733.75,53202.75,63059.5,14860,49235.5,NA,NA,20982.5,33579,349467.25,555307.75,324050.75,NA,2907,12740.25,60951,146357.5,932060.5,1949792,4521.5,144887.25,8358,3113916.75,-1.5973919947102,3.31248662546279,-0.0193203558195565,6.94200062379509,2.98556476270557,2.56732598089707,2.28402931743656
"LANMLR17B012",53.3333333333333,75,3117767.75,10206222.25,19500.5,70239.3333333333,4819,5692.66666666667,37419.75,83756.25,20107.75,59718.5,1979773.25,974412,10263,51800.25,11093.25,15097,91696.5,268129.75,3288532.66666667,2105256.5,35001,3728,60551.25,74452.75,21120.75,225971,286366.25,288916.75,1666542.75,15906.5,2474518.25,21784,11944,13046,10062,21128.25,NA,41253,29323,326741.75,26060.3333333333,NA,11888.5,13284,26408.75,6183,NA,13744,1863,26270.25,81551,102559,31834.5,12857.5,NA,8501,40886.75,81766.75,352094.25,496072.75,314944,3220,7982,27671.75,76119.75,176696,329986,974813,18257.5,95573.5,19545.25,2380529.25,-1.73961836732309,2.73777068583304,0.681505988570611,6.81755277657537,2.59460705975386,2.85822799577371,2.56237004217082
"LANMLR17B013",90.6,85.4,3512799,9960962.8,16142,111994,14015,7889.33333333333,55228.25,98583,20816.5,84627.6,2436457.4,876477.8,14625.25,86233.2,12251.8,18466.2,141748.25,223411.2,3211654.2,1867175.2,24176,6781,70977.2,65564.8,30102.4,338122.2,265727.8,287846,1685119.6,11940,1561428.4,23683.5,25290.5,18068,12910.6666666667,16156.4,NA,89545.5,70997,259315.6,26213,232485,14946,9895,76824.6,7788.5,5048,6334,49419,25118,59316,47023.6666666667,4672.5,10876,109109,8510.5,41454.4,52364.6,445266,514850.5,174462,7869,10829,24877.8,86119,171187.4,994323.5,1300683,7303,118915.6,62224.8,2471037,-1.7587653637086,3.00380752489221,1.92277301272909,5.86387146991064,4.25194037943733,3.70587920147463,3.68776522729643
"LANMLR17B018",51.3333333333333,51.6666666666667,3386156.33333333,11057294,14955.5,84144.5,7947,5644.33333333333,34338.3333333333,59100.6666666667,20531.3333333333,87367.3333333333,2065809.66666667,1153347.33333333,15573.3333333333,37078,7701.33333333333,11839,35173,221991.666666667,3350084,2218067.66666667,29182.3333333333,8010,34903.6666666667,12438.6666666667,15259,198608.333333333,290601.333333333,156238,1956252.66666667,NA,2422447.33333333,32189,18816,5515.33333333333,7276,13865.3333333333,NA,NA,45632,284948,10165.5,NA,21141.5,NA,79876.6666666667,10606,NA,NA,2589,12036,27823.6666666667,18930,2850,3967,NA,11241,17446,40873.6666666667,328990.333333333,390443.333333333,133616,7342,4989.66666666667,13710,58946.6666666667,174016,618999.5,1139513,1859,98728,6777,2444460,-1.94689939442776,3.56788904291806,1.47639605556786,5.69342857600798,3.88493809319549,3.909972724115,3.55628653297763
"LANMLR17B019",53,49.6666666666667,3833014.66666667,9926379.33333333,8341,56078,17101,6768.5,28659.6666666667,207634.333333333,34567,75349.3333333333,2054278.66666667,1461185.33333333,67737.3333333333,31082.3333333333,5581.33333333333,13926.6666666667,80549.3333333333,170431.333333333,3252397.33333333,2103706.33333333,27661.3333333333,3970,42038.3333333333,31719,19201.6666666667,382289.666666667,200467.666666667,322966.333333333,1715623.66666667,NA,1407694.66666667,30801,19399,13373.3333333333,6905,12452.3333333333,NA,1834,71134,258731.333333333,16272,NA,10782,352,9812.66666666667,8647,NA,649,7003,49523.3333333333,61762.3333333333,16873,4153.5,4643.5,NA,11274,75241.3333333333,112369.333333333,424737,549750,180096.5,8227,26296.5,40367,161158,183715.333333333,515909,1342365,6843.5,76257.6666666667,10848,2462776.66666667,-1.37640340314004,3.08131454458854,2.07508070595624,8.49680879627178,6.11192623537297,6.06135484955418,5.68101853382793
"LANMLR17B021",91.8333333333333,89.5,282754.833333333,12020982.6666667,12476.25,116613.4,NA,4225.25,96808.4,109223.833333333,7889.2,3140.16666666667,121803.833333333,42012.6666666667,3961.8,30652.8333333333,9668.5,23211.1666666667,71620,262947.333333333,2863066.8,2193447.33333333,40830.5,NA,59513.3333333333,36280.6666666667,17432.3333333333,341203.5,353572.833333333,375932.5,1900130,17724,3858573,41811,38108,12770.1666666667,19550.8,26062.3333333333,NA,8430,NA,513064.166666667,8834,12879,13075.75,2026,102889,4869,4384,797,28437,9396,26592.1666666667,17744.5,905,10868.5,23694,6131,15571.8333333333,24727.5,227143,362705.6,148861,NA,6047.2,10852.1666666667,58484.1666666667,116350.5,698209.25,1348205.5,1449,180668.333333333,9508.16666666667,2404950.83333333,-5.47012369794508,-1.71695322669518,-4.99498732041463,5.29559949722804,4.71924191672348,4.92635289265041,4.71930923774408
"LANMLR17B023",86.4,92.75,1075364.4,12391250.6,14617,114360,NA,8102,94696,75550.2,8528,37274,706256.6,251166.8,13415,113219.8,18982.8,22853,63887,439284.2,3006065.8,1976659.2,34434.4,NA,107083.6,81154.2,43973,501799,546152.4,431600,2056855.8,19740.3333333333,2857245.4,16094.5,34506,18027,16035.8,27841,24295,67694.5,NA,381464.4,5397.66666666667,99475,9172,NA,59076.8,13149,9457.5,NA,31553,18940.8,41696.2,50563,NA,11858,39368.5,11627,26367.4,41385,393167,531648.666666667,148606.8,NA,6314.4,16481.8,85935.4,144844,786935,1035829.66666667,NA,130294.8,43028.6,2310730.4,-3.63700278451078,0.688094455441846,-2.08741797663135,5.88984140013956,5.4772625763605,5.07959668380108,5.11750662065717
"LANMLR17B024",84,50.3333333333333,3340667.2,10278298,14404,154843.666666667,NA,6559.66666666667,101786,61460.8,6960.66666666667,80009.8,2360604,834416.2,12642,39852.8,12629.6,22350.4,48185.2,252636.6,2630306.8,1788817.4,30112,NA,66736.8,43217.6,19313.2,367072.8,293851.2,313640.4,1539301.4,18101,2751880.8,10806,33033.5,13549.6,12677.2,15620.2,NA,17795,NA,323035.6,7059.5,5447.5,11397.3333333333,NA,81049.6,7658.5,4420.5,NA,7702,64999.8,68410,47538.5,NA,18271,5143.5,38267.5,39852,33570.2,296849.333333333,454103.333333333,148012.4,NA,10157.8,30453.8,98373.4,120160,629835,1366128.33333333,NA,157913.6,7826.6,2377595.6,-1.90712055272133,2.55909779434892,-0.5975341938723,6.31789940904486,4.96707952423482,4.53524594850796,4.30610567659611
"LANMLR17B027",86.8,93.25,2898999.4,8717315.4,33201.5,70158,NA,7863.66666666667,58533.8,83905.8,12737.6,55237.4,2121717.2,625401.4,5848.8,55362.2,4041.6,13032.2,69081,148508.8,2003279.25,1658569.4,30685.4,NA,57751.4,55416.8,12458,214560.8,240382,258155.8,1560690.2,12796,2690790.4,NA,NA,9380.4,14048,18079.4,NA,33418.5,NA,246673.8,12360.4,NA,18851,6872.5,76245,NA,NA,6830,NA,15591.25,37965,35561,9231,22011,NA,NA,22681.25,31804.5,310971.25,492418.25,218364.8,NA,3667,14592.75,39747.6,71537.6,585976,1422779.33333333,3037,133410,12360.4,2269540.6,-1.76103071809806,3.21309474459319,-0.447864120008679,5.41332682049096,2.97414906639579,Inf,Inf
"LANMLR17B028",97,97.75,2753882.75,11386271.25,9303.66666666667,114327.666666667,NA,4062,76927.6666666667,112302.25,12892.3333333333,84959.5,1903912.25,643039.5,12933.6666666667,41455.5,13697,16299.5,52328,300661,2827564,2308375,45932.75,NA,84952.75,57689.25,25684.75,368129,391438.5,396796.25,1799657.25,23067,3290059.5,31835,35641,16467,19244.75,19673.25,NA,41624,NA,132490.5,8690.25,14109,10835.3333333333,NA,42375.75,5652,6502,NA,20828,30146.25,38194.5,24150,NA,21552,9650,44840,29148.5,22651.25,156919,233313,111313.5,NA,11339.75,20995.75,58824.5,80651,346968.333333333,702862.666666667,NA,146488,12217.5,1546945.25,-2.22358903198579,2.10038313834789,-0.98219847329956,6.33774788942354,5.59499225961509,4.90737581788032,4.57279941723689
"LANMLR17B029",129.5,133.5,4685091,6628849,NA,30952.5,NA,NA,18305.5,120210,15136.5,63004,3601240,885500.5,6594,8902.5,2449.5,7576,47533,49300.5,2066442.5,1095210.5,20548.5,NA,33937,45537,2747.5,70747,134091,96869,1360522,NA,1542989.5,NA,NA,2595.5,NA,14209.5,NA,22794.5,NA,129617.5,10324,NA,NA,2998,4163,NA,NA,2313,NA,5311.5,25303,14408.5,8114,19480.5,NA,NA,13033.5,21974.5,282421,461586.5,245151.5,NA,NA,6745.5,29646,94675,NA,NA,1667.5,49258,10324,1238992.5,-0.523720204234243,5.23821439052858,1.18961370617278,9.27346540475978,3.06737185462174,2.18777588593741,2.50568903243144
"LANMLR17B032",91.1666666666667,90,3545272.5,10910952.6666667,22378,79250.3333333333,NA,4244.33333333333,48009,70432.8333333333,9096.66666666667,82390.1666666667,2375911.5,1011989.66666667,5891.33333333333,39882.6666666667,8572.5,13104.5,77713,181949.666666667,3022739.5,2150862.66666667,28498.1666666667,NA,58722.6666666667,51016.3333333333,18690.8333333333,276239.333333333,273229.666666667,307960.666666667,1616878,10670,2703681.16666667,15057.5,66033,14796.6666666667,8493.83333333333,14490,NA,38724,NA,266939,12268,8166.66666666667,8706,NA,51920.3333333333,4068,2110.66666666667,NA,5177,17265,35003.6666666667,22928,NA,7834.66666666667,8255,15121.6666666667,23435.1666666667,27712.1666666667,357675.666666667,569264.666666667,170778.333333333,NA,9038.66666666667,14927.1666666667,67143.3333333333,103518,522413.333333333,1321133,NA,65751.8333333333,12262,1925832.66666667,-1.63934366210767,2.91970792969047,-0.264330742300863,6.88215537260107,5.96773774829844,5.5645247539345,5.14017042341876
"LANMLR17B035",87.8,88.4,4454122.4,7633899.4,3864,47734.75,NA,6984,28804.75,83437.8,13568.25,119411.2,3123278,1117140.8,5337.75,36097.8,3512.8,12945,33927.2,192700.2,2360026.8,1311655.8,18700.8,NA,47279.8,35155.6,18031.8,226208,260759,235640.2,1241898,NA,1573552.2,18166,12770,8590.8,6744,10723.6,NA,14213.5,NA,231702.2,7900,5443,11646,7384.33333333333,9179.8,4874,4029,6201.33333333333,14088,22635.2,41096.8,28312.75,10027,17256.5,6720,32843,34523.6,39874.75,371667,569110.25,245406.4,NA,11567,38661.2,121133.6,169267.5,724592,1601983,5632.66666666667,62628.4,8988.6,1971356.6,-0.964681547053669,3.75972237818514,0.862589871133013,8.46880280719937,4.14166650259417,3.31954241276583,3.24337040400322
"LANMLR17B036",82.8,78.4,4155846.6,9323644.6,20203,118834,NA,5104,95470.6666666667,90617.6,13736.6666666667,95146.2,2653881,1307959.8,6185.33333333333,79643,12445.2,19491.4,53549.8,260894.6,2252944.6,1523097,31259.8,NA,76323.8,53460.4,20793.6,316720.6,342838.8,289406,1471383.8,16145,2449342.8,18229.5,66425.5,11116,13205.2,14271.2,NA,28621,NA,336641.2,8480,9426.5,9745.66666666667,NA,41181.4,10061,8080.5,NA,9265,65620.4,70638.4,38864,NA,15827.5,7192,47664,136020,127946.2,292716,432309.333333333,143807.4,NA,25356.8,93729,171014.6,187439.5,529473.333333333,1120867,NA,131645.2,8858.6,2511114.2,-1.27791825838245,3.09201742955279,-0.0740749272844767,6.30764013751859,4.9629977759866,4.49371223280682,4.43079402858619
"LANMLR17B037",112,138,2511926.8,9386324.6,11115.3333333333,134911.25,NA,5110,62943.5,118506.2,16432.75,70093.4,1677835.2,632345.8,6802.25,42684.4,7005.8,14846.4,62338.8,132757.4,2713872.8,1643518.2,22002.6,NA,61414.8,47006.2,14575.4,247584.6,220272.6,234777,1620864.6,9851,2235183.6,21818,39547,14067.8,8241.5,12843,NA,67514.5,NA,215484.6,13272,23681,5905.66666666667,29974,48862.6,13205,12519,22814,6355,13162,46080.4,46503,20024,49834,21091,34694,26415.4,33374.4,437108.75,614354,242162.6,NA,11018.25,21471.6,95901.2,151666.6,822886.333333333,1490601,8228,161349.8,15353.8,2993033,-1.86535946035385,2.87344701928565,-0.366190008528781,6.16049010547733,3.70820119933216,3.0924795761636,3.03647500055118
